The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2024). Swiss Glacier Volume Change, release 2024, Glacier Monitoring Switzerland, doi:10.18750/volumechange.2024.r2024.

SWISS GLACIER VOLUME CHANGE (GEODETIC MASS BALANCE)

SGI-ID   source_start  Source_end  date_start  date_end   A_start outline_start A_end outline_end       dV      dh_mean  Bgeod     sigma   covered  rho_dv  ; Name
                                yyyymmdd    yyyymmdd       km2    yyyy     km2   yyyy         km3     m        mw.e.a-1  mw.e.   %    kgm-3
A10g-02   dhm25-l1  sa3d-2021    19919999    20149999     0.5900   1973   0.3075   2014   -0.010134  -17.139   -0.835  -99.000  100.0   850 ; Seegletscher
A10g-04   dhm25-l1    is-spez    19859999    20120820     0.0392   1973   0.0150   2014   -0.000247   -6.170   -0.287  -99.000  100.0   850 ; Silvrettahorn
A10g-04    is-spez    is-spez    20120820    20170825     0.0150   2014   0.0150   2014   -0.000072   -4.777   -0.812  -99.000   96.7   850 ; Silvrettahorn
A10g-05       sk10       sk10    19590831    19730912     3.2292   1959   3.2532   1973   -0.029728   -8.950   -0.557  -99.000   97.6   850 ; Silvrettagletscher
A10g-05       sk10   dhm25-l1    19730912    19859999     3.2532   1973   3.1682   1985    0.006180    1.896    0.136  -99.000   96.0   850 ; Silvrettagletscher
A10g-05      ai-bw      ai-bw    19860929    19940923     3.1377   1986   2.7397   1994   -0.019876   -6.303   -0.719  -99.000  100.0   850 ; Silvrettagletscher
A10g-05      ai-bw      ai-bw    19940923    20030813     2.7397   1994   2.7167   2003   -0.012923   -4.698   -0.447  -99.000  100.0   850 ; Silvrettagletscher
A10g-05      ai-bw      ai-bw    20030813    20080909     2.7167   2003   2.6997   2008   -0.013731   -5.048   -0.862  -99.000  100.0   850 ; Silvrettagletscher
A10g-05      ai-bw    is-spez    20080909    20130822     2.6997   2008   2.6566   2013   -0.018601   -6.878   -1.181  -99.000  100.0   850 ; Silvrettagletscher
A10g-05    is-spez    is-spez    20130822    20180816     2.6566   2013   2.5446   2018   -0.019431   -7.288   -1.270  -99.000  100.0   850 ; Silvrettagletscher
A10g-05    is-spez    is-spez    20180816    20230824     2.5446   2018   2.4364   2022   -0.025255   -9.837   -1.724  -99.000  100.0   850 ; Silvrettagletscher
A10g-07   dhm25-l1    is-spez    19859999    20120820     0.2111   1973   0.1275   2014   -0.003555  -16.658   -0.661  -99.000  100.0   850 ; Chammgletscher
A10g-07    is-spez    is-spez    20120820    20170825     0.1275   2014   0.1275   2014   -0.000454   -3.559   -0.605  -99.000  100.0   850 ; Chammgletscher
A10g-07    is-spez  sa3d-2023    20170825    20229999     0.1275   2014   0.0975   2022   -0.000508   -3.967   -0.767  -99.000  100.0   850 ; Chammgletscher
A10g-08       lk50       sk10    19389999    19590831     1.2088   1938   1.2226   1959   -0.007369   -5.191   -0.245  -99.000  100.0   850 ; Verstanclagletscher
A10g-08       sk10       sk10    19590831    19730912     1.2226   1959   1.0882   1973    0.000902    0.705    0.047  -99.000  100.0   850 ; Verstanclagletscher
A10g-08       sk10   dhm25-l1    19730912    19859999     1.0882   1973   1.0949   1985    0.004402    4.020    0.286  -99.000   95.4   850 ; Verstanclagletscher
A10g-08   dhm25-l1      ai-bw    19859999    20030807     1.0949   1985   0.7714   2003   -0.011858  -10.804   -0.600  -99.000  100.0   850 ; Verstanclagletscher
A10g-08      ai-bw      ai-bw    20030807    20070924     0.7714   2003   0.7681   2007   -0.004518   -5.792   -1.247  -99.000  100.0   850 ; Verstanclagletscher
A10g-08      ai-bw    is-spez    20070924    20120820     0.7681   2007   0.7535   2012   -0.005352   -6.967   -1.196  -99.000  100.0   850 ; Verstanclagletscher
A10g-08    is-spez    is-spez    20120820    20170825     0.7535   2012   0.7412   2017   -0.002919   -3.874   -0.664  -99.000   95.8   850 ; Verstanclagletscher
